time,node,10.1.1.1/24-10.1.7.2,10.1.1.2/24-10.1.7.2,10.1.2.1/24-10.1.7.2,10.1.2.2/24-10.1.7.2,10.1.3.1/24-10.1.7.2,10.1.3.2/24-10.1.7.2,10.1.4.1/24-10.1.7.2,10.1.4.2/24-10.1.7.2,10.1.5.1/24-10.1.7.2,10.1.5.2/24-10.1.7.2,10.1.6.1/24-10.1.7.2,10.1.6.2/24-10.1.7.2,10.1.7.1/24-10.1.7.2,10.1.9.1/24-10.1.7.2,10.1.9.2/24-10.1.7.2
21.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
